,dates,Т
670,2016-03-07 06:00:00,-3.6
671,2016-03-07 09:00:00,-1.0
672,2016-03-07 12:00:00,-2.2
673,2016-03-07 15:00:00,-3.8
674,2016-03-07 18:00:00,-5.7
675,2016-03-07 21:00:00,-6.4
676,2016-03-08 00:00:00,-6.3
677,2016-03-08 03:00:00,-5.8
681,2016-03-08 06:00:00,-1.3
682,2016-03-08 09:00:00,1.3
683,2016-03-08 12:00:00,-0.4
684,2016-03-08 15:00:00,-2.8
685,2016-03-08 18:00:00,-3.4
686,2016-03-08 21:00:00,-5.0
687,2016-03-09 00:00:00,-5.4
688,2016-03-09 03:00:00,-5.0
692,2016-03-09 06:00:00,1.6
693,2016-03-09 09:00:00,3.6
694,2016-03-09 12:00:00,2.7
695,2016-03-09 15:00:00,1.2
696,2016-03-09 18:00:00,-0.3
697,2016-03-09 21:00:00,-0.5
698,2016-03-10 00:00:00,-2.6
699,2016-03-10 03:00:00,-6.2
703,2016-03-10 06:00:00,-1.7
704,2016-03-10 09:00:00,0.4
705,2016-03-10 12:00:00,0.1
706,2016-03-10 15:00:00,-2.9
707,2016-03-10 18:00:00,-4.3
708,2016-03-10 21:00:00,-6.4
709,2016-03-11 00:00:00,-8.5
710,2016-03-11 03:00:00,-8.4
713,2016-03-11 06:00:00,0.7
714,2016-03-11 09:00:00,4.9
715,2016-03-11 12:00:00,3.3
716,2016-03-11 15:00:00,-0.6
717,2016-03-11 18:00:00,-0.6
718,2016-03-11 21:00:00,-2.1
719,2016-03-12 00:00:00,-3.4
720,2016-03-12 03:00:00,-2.4
723,2016-03-12 06:00:00,2.2
724,2016-03-12 09:00:00,3.9
725,2016-03-12 12:00:00,2.5
726,2016-03-12 15:00:00,0.2
727,2016-03-12 18:00:00,-1.5
728,2016-03-12 21:00:00,-2.3
729,2016-03-13 00:00:00,-1.9
730,2016-03-13 03:00:00,-0.2
733,2016-03-13 06:00:00,1.5
734,2016-03-13 09:00:00,1.6
735,2016-03-13 12:00:00,0.7
736,2016-03-13 15:00:00,-0.4
737,2016-03-13 18:00:00,-2.0
738,2016-03-13 21:00:00,-4.0
739,2016-03-14 00:00:00,-4.3
740,2016-03-14 03:00:00,-4.2
743,2016-03-14 06:00:00,-1.7
744,2016-03-14 09:00:00,0.2
745,2016-03-14 12:00:00,-1.2
746,2016-03-14 15:00:00,-1.7
747,2016-03-14 18:00:00,-3.8
748,2016-03-14 21:00:00,-4.0
749,2016-03-15 00:00:00,-4.6
750,2016-03-15 03:00:00,-5.4
753,2016-03-15 06:00:00,-2.4
754,2016-03-15 09:00:00,-0.4
755,2016-03-15 12:00:00,-1.0
756,2016-03-15 15:00:00,-1.2
757,2016-03-15 18:00:00,-1.4
758,2016-03-15 21:00:00,-2.0
759,2016-03-16 00:00:00,-2.1
760,2016-03-16 03:00:00,-1.0
763,2016-03-16 06:00:00,1.3
764,2016-03-16 09:00:00,1.1
765,2016-03-16 12:00:00,1.6
766,2016-03-16 15:00:00,-0.2
767,2016-03-16 18:00:00,-1.9
768,2016-03-16 21:00:00,-2.8
769,2016-03-17 00:00:00,-3.8
770,2016-03-17 03:00:00,-3.6
773,2016-03-17 06:00:00,-1.6
774,2016-03-17 09:00:00,-0.1
775,2016-03-17 12:00:00,-2.3
776,2016-03-17 15:00:00,-3.1
777,2016-03-17 18:00:00,-2.1
778,2016-03-17 21:00:00,-2.1
779,2016-03-18 00:00:00,-2.4
780,2016-03-18 03:00:00,-2.1
784,2016-03-18 06:00:00,-0.7
785,2016-03-18 09:00:00,0.3
786,2016-03-18 12:00:00,-0.3
787,2016-03-18 15:00:00,-2.0
788,2016-03-18 18:00:00,-2.8
789,2016-03-18 21:00:00,-2.7
790,2016-03-19 00:00:00,-3.4
791,2016-03-19 03:00:00,-2.0
794,2016-03-19 06:00:00,0.8
795,2016-03-19 09:00:00,1.9
796,2016-03-19 12:00:00,2.1
797,2016-03-19 15:00:00,2.2
798,2016-03-19 18:00:00,2.4
799,2016-03-19 21:00:00,1.8
800,2016-03-20 00:00:00,2.5
801,2016-03-20 03:00:00,3.5
804,2016-03-20 06:00:00,5.2
805,2016-03-20 09:00:00,6.6
806,2016-03-20 12:00:00,5.8
807,2016-03-20 15:00:00,3.9
808,2016-03-20 18:00:00,3.3
809,2016-03-20 21:00:00,3.7
810,2016-03-21 00:00:00,3.1
811,2016-03-21 03:00:00,3.7
814,2016-03-21 06:00:00,5.8
815,2016-03-21 09:00:00,6.8
816,2016-03-21 12:00:00,6.4
817,2016-03-21 15:00:00,0.8
818,2016-03-21 18:00:00,-4.6
819,2016-03-21 21:00:00,-6.5
820,2016-03-22 00:00:00,-8.1
821,2016-03-22 03:00:00,-7.3
824,2016-03-22 06:00:00,-3.8
825,2016-03-22 09:00:00,-2.3
826,2016-03-22 12:00:00,-1.3
827,2016-03-22 15:00:00,-3.0
828,2016-03-22 18:00:00,-3.0
829,2016-03-22 21:00:00,-4.5
830,2016-03-23 00:00:00,-4.6
831,2016-03-23 03:00:00,-2.9
834,2016-03-23 06:00:00,4.0
835,2016-03-23 09:00:00,4.6
836,2016-03-23 12:00:00,3.8
837,2016-03-23 15:00:00,0.7
838,2016-03-23 18:00:00,0.9
839,2016-03-23 21:00:00,-0.6
840,2016-03-24 00:00:00,-0.3
841,2016-03-24 03:00:00,0.9
842,2016-03-24 06:00:00,2.1
843,2016-03-24 09:00:00,5.2
844,2016-03-24 12:00:00,5.8
845,2016-03-24 15:00:00,5.8
846,2016-03-24 18:00:00,3.8
847,2016-03-24 21:00:00,2.3
848,2016-03-25 00:00:00,1.0
849,2016-03-25 03:00:00,-0.3
850,2016-03-25 06:00:00,-1.0
851,2016-03-25 09:00:00,-0.8
852,2016-03-25 12:00:00,-0.5
853,2016-03-25 15:00:00,-0.5
854,2016-03-25 18:00:00,-1.2
